	Simplified Chinese(zh_HANS )
_0_0_ago >	之前的%s %s
_0_bill_not_paid_close_it_or_update_debt >	没有支付%s费用。直接将帐单关闭或更新帐单。
_0_finished_contract >	%s合约结束
_0_new_reminders >	%s新提醒
_0_not_in_cur_bill >	%s须延迟缴费
_0_not_to_pay >	%s尚未缴费
_0_post_to_0 >	%s费用延%s缴纳
_0_postponed >	%s费用延迟缴费
_0_precede >	%s提早缴费
_o_pending_deposit_check_0_days >	%s：等待存入 一张支票 %s。
about>	关于
add >	新增
add_and_save>	添加另一个\ n公寓或保存
add_contact>	添加联系人
add_new_apartment>	添加公寓
add_phone_numer>	添加电话号码
add_record >	新增记录
add_to_cur_bill >	新增到当前帐单
add_unit>	新增房间
add_units>	新增房间
advanced_payments >	提前%s缴费
alert_canceled >	取消提醒
alerts >	提醒
alerts_appear_at__ >	通知将显示在..
alerts_max_free >	超过%s警报
all>	所有
also_update_0_in_units >	同时更新 %s 1度：
amount_that_pay >	已付金额
amount_to_pay >	总金额
apartment >	公寓
Apartment_empty >	空的公寓
apartment_empty_0_days >	公寓已闲置%s天
apartment_name >	公寓的名字
apartments_max_free >	超过%s公寓
	
are_you_shure_you_want_to_exit >	你确定要退出吗？
are_you_sure_delete_all_cnt >	%s中%s的所有记录都将被删除，您确定吗？
auto_backup_google_drive_off>	自动备份关闭
auto_backup_google_drive_on>	自动备份开启
auto_cnt_msg>	此间内部没有安装分表，将由主表与分表的差异来自动计算
auto_save_on_exit>	退出时自动保存
auto_update_from_0_to_0 >	自动更新%s（%s）
auto>	自动
backup >	备份
backup_by >	使用..备份
backup_email_budy >	可以打开附件来恢复
backup_once_by_email>	通过电子邮件备份一次
backup_recovery>	备份/恢复
bacup_email_title >	%s备份：
balance >	平衡
before_0_days >	%s天前
bill_of_0 >	%s 付款 \ n（%s的%s）
calendar>	日历
call_to_0 >	打电话给%s。
call>	打电话
cancel >	取消
cannot_run_without_permissions>	没有权限就无法运行
cant_save_changes_read_only >	使用唯读开启档案，无法保存变更
change_counter_0>	更改%s表
change_google_account>	更改帐户
changes_not_saved_are_you_sure >	你确定不保存变更吗？
changes_saved>	保存更改
check >	支票
check_connection>	检查连接
check1 >	支票
check2 >	(支票)
choose__ >	选择......
chose_currency_title >	选择货币
chose_date_title >	选择日期
clear >	重置
comment >	评论
contact_not_found>	找不到%s
contact_us >	联系我们
contact_us_email_budy >	程式错误\\问题\\请求...
contact>	联系
contacts>	联系
contract_with_0>	与%s显示合同
copy>	复制
counter >	表
counter_0_is_updated>	%s表已更新
counter_0_out_of_date_cant_end_contract >	%s没有更新meter\n的度数，所以合约无法结束
counter_not_updated_to_tenant >	抄表过期
counters >	表
create_new_db >	新增一个资料库
curent_0 >	当前（%s）
curent_date >	当前日期
currency >	货币
data>	数据
date >	日期
date_format>	日期格式
date_update >	上次变更的日期
date2 >	日期......
dayly_alert >	每天提醒
days >	天
days1 >	（%s天）
days2 >	%s天
debt >	未付费帐单
debt_0_of_0 >	有%s的%s
debt_alert>	帐单提醒
del >	删除
del_0>	删除%s？
del_all_after_date >	删除这天之后的所有记录
del_all_befor_date >	删除这天之前的所有记录
del_all>	全部删除
del_this_date >	仅删除这天
demo >	示范
deposit_check_of_0 >	存入%s的支票。\ N（%s..%s）
details >	详细信息
diff_cnt_txt>	相差
divided_apartment >	分开的公寓
edit >	编辑
edit_btn>	编辑按钮
edit1 >	%s（编辑）
elect >	电
elect_cnt >	电表
elect_cnts>	电表
email >	E-mail
empty >	空
en_google_drive_backup_title>	您想使用Google云端硬盘备份数据吗？
en_notif_shortcut>	在状态栏中显示
end_contract >	合同终止
end_contract_with_0 >	完成%s
end_edit>	完成编辑
end_of_contract_alert>	合同终止提醒
end_of_contract_alert0>	%s该续约了
end_of_contract_alert1 >	与%s的合约结束..
ending >	结束
enter_again >	再次输入
enter_name >	输入姓名/地址
enter_password >	输入密码
every_0_in_month >	每个月的%s号
every_0month_in_0 >	每%s月的%sth
every_2month_in_0 >	每两个月的%s
existing_user>	现有用户
exit >	退出
file_already_exists_locally>	文件已在本地存在
find >	从通讯录新增
general>	一般
	
	
google_drive>	Google云端硬盘
goto_google_play>	Google Play
help_rate_us>	给我们评分5星
help_renta_dlog>	你可以帮助推广%s
hi_ten>	嗨%s
hide>	隐藏公寓
history >	历史纪录
hours >	时间
how_to_start_title>	欢迎\ n，你想从哪开始呢？
ignor >	忽略
illegal_auto_cnt >	（%s自动计算错误）
illegal_date >	%s日期无效
illegal_password >	密码错误
illegal_value>	无效数值
imojie>	表情符号
in_0_0_time >	在%s %s
in_0_days >	还有%s天
in_0_days_to_next_bill >	离下次缴费还有%s天。
in_app_purchases_error>	无法进行应用程式内购买，请检查您的网络或与我们联系...
include_counters >	包括表
invalid_value >	无效数值
irrelevant >	不相干
